plot no.,s,e,p mg/l,k (mg/l),ca (mg/l),mg (mg/l),exch.acidity (cmol/l),total cations (cmol/l),acidity sat. %,ph(kcl),zn (mg/l),mn (mg/l),cu (mg/l),unnamed: 12,plot no..1,organic c. (%),n (%),clay (%)
TSPLOT 76,-28.65837222,28.87790833,,,,,,,,,,,,,,,,
TSPLOT 77,-28.66774722,28.87879167,,,,,,,,,,,,,,,,
TSPLOT 78,-28.65679167,28.88168056,,,,,,,,,,,,,,,,
TSPLOT 79,-28.65208889,28.90516111,,,,,,,,,,,,,,,,
TSPLOT 80,-28.64921944,28.90817778,,,,,,,,,,,,,,,,
TSPLOT 81,-28.645475,28.90667222,,,,,,,,,,,,,,,,
TSPLOT 82,-28.64923056,28.91356111,,,,,,,,,,,,,,,,
TSPLOT 83,-28.65176667,28.90847778,,,,,,,,,,,,,,,,
TSPLOT 84,-28.63906389,28.90705,,,,,,,,,,,,,,,,
TSPLOT 85,-28.6406,28.91103611,,,,,,,,,,,,,,,,
TSPLOT 86,-28.65655556,28.90572778,,,,,,,,,,,,,,,,
TSPLOT 87,-28.65883889,28.90359444,,,,,,,,,,,,,,,,
TSPLOT 88,-28.65704167,28.90105833,,,,,,,,,,,,,,,,
TSPLOT 89,-28.65028611,28.84460278,,,,,,,,,,,,,,,,
TSPLOT 90,-28.66134167,28.85019167,,,,,,,,,,,,,,,,
TSPLOT 01-A,,,6.0,117.0,190.0,52.0,1.69,3.37,50.0,4.08,0.3,5.0,0.7,,TSPLOT 01-A,2.3,0.19,19
TSPLOT 01-B,,,3.0,86.0,120.0,48.0,1.63,2.84,57.0,4.08,0.2,2.0,0.5,,TSPLOT 01-B,<  0.5,0.08,25
TSPLOT 02-A,,,2.0,132.0,366.0,142.0,0.82,4.15,20.0,4.22,0.0,5.0,2.3,,TSPLOT 02-A,2.2,0.16,26
TSPLOT 02-B,,,1.0,79.0,712.0,393.0,0.59,7.58,8.0,4.23,0.2,1.0,0.6,,TSPLOT 02-B,<  0.5,<  0.05,22
TSPLOT 03-A,,,8.0,195.0,352.0,73.0,1.22,4.08,30.0,4.03,0.7,28.0,1.5,,TSPLOT 03-A,2.8,0.2,24
TSPLOT 04-A,,,3.0,151.0,156.0,52.0,1.02,2.61,39.0,4.21,0.3,3.0,1.3,,TSPLOT 04-A,2.4,0.17,23
TSPLOT 04-B,,,1.0,41.0,250.0,164.0,1.37,4.07,34.0,4.1,0.0,1.0,0.9,,TSPLOT 04-B,0.8,0.06,37
TSPLOT 05-A,,,3.0,326.0,733.0,270.0,0.52,7.23,7.0,4.33,1.3,38.0,8.0,,TSPLOT 05-A,4.1,0.27,48
TSPLOT 06-A,,,6.0,88.0,191.0,40.0,1.45,2.96,49.0,4.03,0.4,5.0,1.0,,TSPLOT 06-A,1.6,0.12,16
TSPLOT 07-A,,,4.0,132.0,315.0,103.0,1.89,4.65,41.0,3.89,0.2,21.0,2.2,,TSPLOT 07-A,2.3,0.16,18
TSPLOT 07-B,,,2.0,52.0,134.0,67.0,1.55,2.9,53.0,4.11,0.0,2.0,1.1,,TSPLOT 08-A,< 0.5,<  0.05,25
TSPLOT 08-A,,,1.0,56.0,456.0,214.0,0.47,4.65,10.0,4.29,0.1,29.0,2.4,,TSPLOT 09-A,< 0.5,<  0.05,9
TSPLOT 09-A,,,4.0,175.0,504.0,149.0,0.91,5.1,18.0,4.22,0.5,14.0,1.4,,TSPLOT 10-A,< 0.5,<  0.05,16
TSPLOT 10-A,,,2.0,122.0,1771.0,700.0,0.3,15.25,2.0,4.83,0.6,37.0,4.9,,TSPLOT 10-B,0.5,0.07,10
TSPLOT 10-B,,,1.0,67.0,2593.0,1085.0,0.24,22.28,1.0,5.23,0.8,6.0,5.7,,TSPLOT 11-A,1.6,0.13,13
TSPLOT 11-A,,,3.0,124.0,255.0,72.0,0.82,3.0,27.0,4.16,0.0,5.0,1.2,,TSPLOT 11-B,< 0.5,<  0.05,16
TSPLOT-11-B,,,1.0,43.0,103.0,37.0,0.56,1.49,38.0,4.38,0.0,1.0,0.3,,TSPLOT 11-C,< 0.5,<  0.05,9
TSPLOT 11-C,,,1.0,70.0,423.0,275.0,0.68,5.23,13.0,4.01,0.0,1.0,0.4,,TSPLOT 12-A,0.7,0.07,11
TSPLOT 12-A,,,3.0,152.0,209.0,106.0,0.59,0.89,20.0,4.03,0.1,10.0,0.5,,TSPLOT 12-B,< 0.5,<  0.05,19
TSPLOT 12-B,,,1.0,89.0,137.0,202.0,1.59,4.16,38.0,3.99,0.1,1.0,0.6,,TSPLOT 12-C,< 0.5,<  0.05,17
TSPLOT 12-C,,,1.0,75.0,170.0,180.0,0.88,3.4,26.0,4.03,0.1,1.0,1.0,,TSPLOT 13-A,4.3,0.33,14
TSPLOT 13-A,,,9.0,92.0,366.0,66.0,1.03,3.63,28.0,4.14,0.3,4.0,0.7,,TSPLOT 14-A,1.2,0.1,23
TSPLOT 14-A,,,3.0,186.0,491.0,110.0,0.39,4.22,9.0,4.04,0.4,9.0,1.2,,TSPLOT 14-B,1,0.08,24
TSPLOT 14-B,,,2.0,200.0,447.0,103.0,0.76,4.35,17.0,4.16,0.1,3.0,1.8,,TSPLOT 14-C,0.5,0.05,28
TSPLOT 14-C,,,2.0,239.0,313.0,81.0,0.78,3.62,22.0,4.22,0.0,2.0,1.1,,TSPLOT 15-A,1.1,0.11,14
TSPLOT 15-A,,,3.0,157.0,278.0,83.0,0.87,3.34,26.0,4.1,0.1,9.0,1.2,,TSPLOT 15-B,0.8,0.07,21
TSPLOT 15-B,,,1.0,101.0,204.0,94.0,0.81,2.86,28.0,4.17,0.2,2.0,0.9,,TSPLOT 16-A,1,0.09,13
TSPLOT 15-C,,,2.0,56.0,124.0,85.0,0.72,2.18,33.0,4.25,0.1,1.0,0.6,,TSPLOT 16-B,0.7,0.1,21
TSPLOT 16-A,,,3.0,126.0,244.0,68.0,0.58,2.68,22.0,4.03,0.0,8.0,0.7,,TSPLOT 17-A,0.7,<  0.05,18
TSPLOT 16-B,,,1.0,131.0,191.0,136.0,0.94,3.35,28.0,4.13,0.3,1.0,0.7,,TSPLOT 17-B,<  0.5,<  0.05,26
TSPLOT 17-A,,,2.0,289.0,534.0,203.0,0.31,5.38,6.0,4.26,0.5,9.0,0.7,,TSPLOT 15-C,<  0.5,0.05,21
TSPLOT 17-B,,,2.0,256.0,492.0,223.0,1.93,6.88,28.0,3.96,0.0,4.0,1.1,,TSPLOT 18-A,1.3,0.12,13
TSPLOT 18-A,,,5.0,79.0,541.0,115.0,0.62,4.47,14.0,4.2,0.3,8.0,1.1,,TSPLOT 18-B,<  0.5,<  0.05,23
TSPLOT 18-B,,,3.0,48.0,175.0,50.0,1.13,2.54,45.0,4.22,0.4,1.0,0.2,,TSPLOT 19-A,1.5,0.11,20
TSPLOT 19-A,,,5.0,134.0,340.0,75.0,0.83,3.49,24.0,4.16,0.1,4.0,0.8,,TSPLOT 19-B,<  0.5,<  0.05,32
TSPLOT 19-B,,,2.0,50.0,164.0,61.0,0.87,2.32,38.0,4.25,0.1,1.0,0.3,,TSPLOT 20-A,2.3,0.17,19
TSPLOT 20-A,,,5.0,218.0,370.0,117.0,0.82,4.19,20.0,4.11,0.3,7.0,1.1,,TSPLOT 20-B,< 0.5,<  0.05,33
