Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2008,2008,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2009,2009,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2010,2010,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2011,2011,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2012,2012,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2013,2013,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2014,2014,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2015,2015,LSU/ha,0.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2016,2016,LSU/ha,0.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2017,2017,LSU/ha,0.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2018,2018,LSU/ha,0.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2019,2019,LSU/ha,0.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2020,2020,LSU/ha,0.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2021,2021,LSU/ha,0.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2022,2022,LSU/ha,0.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2000,2000,%LSU,19.19,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2001,2001,%LSU,19.27,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2002,2002,%LSU,17.5,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2003,2003,%LSU,17.53,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2004,2004,%LSU,17.29,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2005,2005,%LSU,17.33,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2006,2006,%LSU,17.27,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2007,2007,%LSU,16.85,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2008,2008,%LSU,16.54,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2009,2009,%LSU,16.42,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2010,2010,%LSU,16.06,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2011,2011,%LSU,15.96,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2012,2012,%LSU,15.86,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2013,2013,%LSU,16.38,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2014,2014,%LSU,16.13,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2015,2015,%LSU,16.19,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2016,2016,%LSU,16.06,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2017,2017,%LSU,16.04,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2018,2018,%LSU,16.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2019,2019,%LSU,15.94,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2020,2020,%LSU,15.93,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2021,2021,%LSU,15.91,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2122,Sheep,2022,2022,%LSU,15.92,E,Estimated value
